datetime,pcs_power,solar_power,grid_power,dg_power,load_power,grid_import_power,grid_export_power,bess_discharge,bess_charge,bess_charge_grid,bess_charge_solar,load_demand_30min,grid_demand_30min,soc
2024-09-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-09-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-09-03 12:00:00,-6.583333333333333,0.0,-6.166666666666666,0.0,0.0,6.166666666666666,0.0,0.0,6.583333333333333,6.583333333333333,0.0,0.0,8.666666666666666,97.16666666666667
2024-09-03 13:00:00,-64.58333333333333,118.76166666666666,4.166666666666666,0.0,51.08333333333333,0.0,4.166666666666666,0.0,64.58333333333333,0.12800000000000247,64.45533333333333,102.16666666666644,3.0,98.0
2024-09-03 14:00:00,-10.733333333333333,136.7515,3.333333333333333,0.0,123.0,0.6666666666666666,4.0,0.0,10.733333333333333,0.2908333333333305,10.442500000000003,143.26666666666645,1.3333333333333333,98.83333333333333
2024-09-03 15:00:00,-4.6,126.71916666666667,-1.333333333333333,0.0,124.39999999999999,4.5,3.1666666666666665,0.0,4.6,1.9338333333333324,2.6661666666666672,130.0333333333331,8.333333333333334,99.0
2024-09-03 16:00:00,34.699999999999996,75.2135,-31.833333333333332,0.0,143.95,31.833333333333332,0.0,34.699999999999996,0.0,0.0,0.0,149.66666666666643,34.0,97.33333333333333
2024-09-03 17:00:00,76.94999999999999,15.772666666666666,-36.166666666666664,0.0,130.29999999999998,36.166666666666664,0.0,76.94999999999999,0.0,0.0,0.0,140.1999999999998,39.0,88.0
2024-09-03 18:00:00,73.14999999999999,0.0,-62.49999999999999,0.0,136.76666666666665,62.49999999999999,0.0,73.14999999999999,0.0,0.0,0.0,140.5333333333331,72.0,74.16666666666667
2024-09-03 19:00:00,73.48333333333333,0.0,-56.0,0.0,132.68333333333334,56.0,0.0,73.48333333333333,0.0,0.0,0.0,137.56666666666646,67.33333333333333,62.0
2024-09-03 20:00:00,72.05,0.0,-44.5,0.0,122.61666666666666,44.5,0.0,72.05,0.0,0.0,0.0,129.59999999999977,48.666666666666664,50.0
2024-09-03 21:00:00,55.133333333333326,0.0,-30.333333333333332,0.0,86.91666666666666,30.333333333333332,0.0,55.133333333333326,0.0,0.0,0.0,111.8333333333331,39.0,39.8
2024-09-03 22:00:00,-2.0166666666666666,0.0,-109.33333333333333,0.0,107.94999999999999,109.33333333333333,0.0,0.0,2.0166666666666666,2.0166666666666666,0.0,111.66666666666644,113.0,35.0
2024-09-03 23:00:00,-2.15,0.0,-106.66666666666666,0.0,105.08333333333333,106.66666666666666,0.0,0.0,2.15,2.15,0.0,119.06666666666644,120.33333333333333,35.0
2024-09-04 00:00:00,-2.7333333333333334,0.0,-89.33333333333333,0.0,87.36666666666666,89.33333333333333,0.0,0.0,2.7333333333333334,2.7333333333333334,0.0,96.1333333333331,98.33333333333333,35.0
2024-09-04 01:00:00,-2.3166666666666664,0.0,-86.0,0.0,84.23333333333333,86.0,0.0,0.0,2.3166666666666664,2.3166666666666664,0.0,88.3333333333331,90.0,35.0
2024-09-04 02:00:00,-2.6333333333333333,0.0,-109.5,0.0,107.56666666666666,109.5,0.0,0.0,2.6333333333333333,2.6333333333333333,0.0,119.6333333333331,121.66666666666667,34.5
2024-09-04 03:00:00,-2.4499999999999997,0.0,-141.33333333333331,0.0,140.68333333333334,141.33333333333331,0.0,0.0,2.4499999999999997,2.4499999999999997,0.0,150.5333333333331,152.33333333333334,34.0
