Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.25,0.25
1,0.25,0.25
2,0.25,0.25
3,0.25,0.25
4,0.25,0.25
5,0.6,0.6
6,0.6,0.6
7,0.6,0.6
8,0.7,0.7
9,0.7,0.7
10,0.75,0.75
11,0.8,0.8
12,0.9,0.9
13,0.9,0.9
14,0.85,0.85
15,0.85,0.85
16,0.85,0.85
17,0.8,0.8
18,0.7,0.7
19,0.5,0.5
20,0.4,0.4
21,0.4,0.4
22,0.3,0.3
23,0.3,0.3
