Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.9085,0.9085
1,0.9085,0.9085
2,0.9085,0.9085
3,0.9085,0.9085
4,0.9085,0.9085
5,0.9085,0.9085
6,0.8106,0.9085
7,0.7669,0.714
8,0.6561,0.666
9,0.5633,0.6288
10,0.5395,0.6022
11,0.5252,0.5862
12,0.5204,0.6413
13,0.5252,0.6472
14,0.5395,0.6648
15,0.5633,0.6942
16,0.5967,0.7354
17,0.7033,0.714
18,0.8839,0.7372
19,0.8839,0.8229
20,0.8106,0.9085
21,0.7372,0.9085
22,0.9085,0.9085
23,0.9085,0.9085
