Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.85,0.85
1,0.85,0.85
2,0.85,0.85
3,0.85,0.85
4,0.85,0.85
5,0.85,0.85
6,0.85,0.85
7,0.7375,0.7375
8,0.688,0.688
9,0.6495,0.6495
10,0.622,0.622
11,0.6055,0.6055
12,0.6,0.6
13,0.6055,0.6055
14,0.622,0.622
15,0.6495,0.6495
16,0.688,0.688
17,0.7375,0.7375
18,0.85,0.85
19,0.85,0.85
20,0.85,0.85
21,0.85,0.85
22,0.85,0.85
23,0.85,0.85
