Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.52,0.64
1,0.51,0.65
2,0.52,0.64
3,0.51,0.65
4,0.51,0.65
5,0.52,0.66
6,0.55,0.67
7,0.63,0.67
8,0.66,0.69
9,0.67,0.71
10,0.68,0.7
11,0.67,0.69
12,0.67,0.7
13,0.65,0.7
14,0.65,0.7
15,0.64,0.69
16,0.62,0.68
17,0.59,0.66
18,0.55,0.66
19,0.54,0.64
20,0.54,0.65
21,0.53,0.66
22,0.52,0.64
23,0.52,0.64
