Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.41,0.65
1,0.38,0.65
2,0.39,0.65
3,0.58,0.68
4,0.72,0.73
5,0.7,0.7
6,0.69,0.67
7,0.7,0.76
8,0.71,0.83
9,0.69,0.75
10,0.7,0.73
11,0.75,0.74
12,0.78,0.75
13,0.78,0.75
14,0.78,0.72
15,0.72,0.69
16,0.75,0.61
17,0.77,0.56
18,0.76,0.56
19,0.75,0.56
20,0.67,0.55
21,0.68,0.56
22,0.64,0.56
23,0.57,0.56
