Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.32,0.41
1,0.32,0.42
2,0.33,0.41
3,0.33,0.4
4,0.46,0.4
5,0.37,0.41
6,0.39,0.38
7,0.46,0.45
8,0.44,0.53
9,0.47,0.45
10,0.42,0.44
11,0.42,0.44
12,0.46,0.46
13,0.45,0.46
14,0.42,0.46
15,0.43,0.41
16,0.4,0.38
17,0.37,0.38
18,0.35,0.39
19,0.33,0.41
20,0.32,0.41
21,0.33,0.41
22,0.32,0.41
23,0.33,0.41
