Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.1729,0.1791
1,0.1626,0.1667
2,0.1592,0.1558
3,0.1554,0.1578
4,0.1544,0.1586
5,0.2003,0.1808
6,0.2908,0.2529
7,0.3361,0.2636
8,0.3039,0.2856
9,0.2976,0.2797
10,0.2652,0.27
11,0.2477,0.2522
12,0.2449,0.2487
13,0.2571,0.2921
14,0.2757,0.285
15,0.2925,0.3341
16,0.3167,0.3435
17,0.3583,0.3446
18,0.4312,0.3888
19,0.3966,0.3866
20,0.3546,0.3425
21,0.3257,0.308
22,0.2212,0.2271
23,0.1913,0.1858
