Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.8458,0.8458
1,0.8458,0.8458
2,0.8458,0.8458
3,0.8458,0.8458
4,0.8458,0.8458
5,0.8458,0.8458
6,0.8518,0.8458
7,0.7263,0.7429
8,0.6895,0.693
9,0.6622,0.6542
10,0.6341,0.6265
11,0.6173,0.6099
12,0.6117,0.597
13,0.6173,0.6025
14,0.6341,0.6189
15,0.6622,0.6463
16,0.7014,0.6846
17,0.7391,0.7429
18,0.837,0.8666
19,0.837,0.8562
20,0.8518,0.8458
21,0.8666,0.8458
22,0.8458,0.8458
23,0.8458,0.8458
