Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.85,0.85
1,0.85,0.85
2,0.85,0.85
3,0.85,0.85
4,0.85,0.85
5,0.85,0.85
6,0.83,0.83
7,0.80,0.80
8,0.78,0.78
9,0.75,0.75
10,0.73,0.73
11,0.70,0.70
12,0.70,0.70
13,0.70,0.70
14,0.73,0.73
15,0.75,0.75
16,0.78,0.78
17,0.80,0.80
18,0.83,0.83
19,0.85,0.85
20,0.85,0.85
21,0.85,0.85
22,0.85,0.85
23,0.85,0.85
