Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.15,0.15
1,0.15,0.15
2,0.15,0.15
3,0.15,0.15
4,0.15,0.15
5,0.15,0.15
6,0.35,0.15
7,0.35,0.15
8,0.75,0.15
9,0.75,0.15
10,0.75,0.3
11,0.75,0.3
12,0.45,0.3
13,0.875,0.3
14,0.875,0.2
15,0.875,0.2
16,0.875,0.2
17,0.55,0.2
18,0.25,0.15
19,0.25,0.15
20,0.25,0.15
21,0.25,0.15
22,0.15,0.15
23,0.15,0.15
